Unnamed: 0,content_id,tmdbId,title,genre,rating_count,rating_avg,keywords,url,imdbId,poster_path,overview,category,OTT Provider,OTT Link
0,1,862.0,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,215,3.92093023255814,martial arts jealousy friendship bullying elementary school friends rivalry rescue mission buddy walkie talkie toy car boy next door new toy neighborhood toy comes to life resourcefulness,http://www.imdb.com/title/tt0114709/,114709,https://image.tmdb.org/t/p/original/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",movie,,
1,2,8844.0,Jumanji (1995),Adventure|Children|Fantasy,110,3.4318181818181817,giant insect board game jungle disappearance recluse stampede based on young adult novel,http://www.imdb.com/title/tt0113497/,113497,https://image.tmdb.org/t/p/original/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",movie,,
2,3,15602.0,Grumpier Old Men (1995),Comedy|Romance,52,3.2596153846153846,fishing halloween sequel old man best friend wedding italian restaurant old friends duringcreditsstinger pranks,http://www.imdb.com/title/tt0113228/,113228,https://image.tmdb.org/t/p/original/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",movie,,
3,4,31357.0,Waiting to Exhale (1995),Comedy|Drama|Romance,7,2.357142857142857,based on novel or book interracial relationship single mother divorce,http://www.imdb.com/title/tt0114885/,114885,https://image.tmdb.org/t/p/original/4uw6HKq4vlhrSVp0zkgd4zCy4Pf.jpg,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",movie,,
4,5,11862.0,Father of the Bride Part II (1995),Comedy,49,3.071428571428572,"parent child relationship baby midlife crisis confidence pregnancy aging daughter sequel remake los angeles, california contraception gynecologist",http://www.imdb.com/title/tt0113041/,113041,https://image.tmdb.org/t/p/original/rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife is expecting too. He was planning on selling their home, but that's a plan that—like George—will have to change with the arrival of both a grandchild and a kid of his own.",movie,,
5,6,949.0,Heat (1995),Action|Crime|Thriller,102,3.946078431372549,"robbery detective obsession chase thief honor murder heist betrayal gang los angeles, california cat and mouse bank robbery criminal mastermind cult film ex-con one last job loner bank job neo-noir crime epic",http://www.imdb.com/title/tt0113277/,113277,https://image.tmdb.org/t/p/original/umSVjVdbVwtx5ryCA2QXL44Durm.jpg,Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.,movie,,
6,7,11860.0,Sabrina (1995),Comedy|Romance,54,3.185185185185185,"paris, france sibling relationship chauffeur long island, new york fusion millionaire",http://www.imdb.com/title/tt0114319/,114319,https://image.tmdb.org/t/p/original/z1oNjotUI7D06J4LWQFQzdIuPnf.jpg,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",movie,,
7,8,45325.0,Tom and Huck (1995),Adventure|Children,8,2.875,mississippi river based on novel or book male friendship,http://www.imdb.com/title/tt0112302/,112302,https://image.tmdb.org/t/p/original/vIG8hWOa7DyLMRiurzKwVAnIYoU.jpg,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",movie,,
8,9,9091.0,Sudden Death (1995),Action,16,3.125,"terrorist hostage explosive ice hockey vice president pittsburgh, pennsylvania pittsburgh penguins",http://www.imdb.com/title/tt0114576/,114576,https://image.tmdb.org/t/p/original/1pylO6YX5XdOA6QCc5IRxrrffkg.jpg,When a man's daughter is suddenly taken during a championship hockey game – with the captors demanding a billion dollars by game's end – he frantically sets a plan in motion to rescue her and abort an impending explosion before the final buzzer.,movie,,
9,10,710.0,GoldenEye (1995),Action|Adventure|Thriller,132,3.496212121212121,"cuba falsely accused secret identity computer virus secret base secret intelligence service kgb satellite special car cossack electromagnetic pulse time bomb st. petersburg, russia red army",http://www.imdb.com/title/tt0113189/,113189,https://image.tmdb.org/t/p/original/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg,"When a powerful satellite system falls into the hands of Alec Trevelyan, AKA Agent 006, a former ally-turned-enemy, only James Bond can save the world from a dangerous space weapon that -- in one short pulse -- could destroy the earth! As Bond squares off against his former compatriot, he also battles Xenia Onatopp, an assassin who uses pleasure as her ultimate weapon",movie,,
10,11,9087.0,"American President, The (1995)",Comedy|Drama|Romance,70,3.6714285714285713,the white house usa president new love widower wildlife conservation,http://www.imdb.com/title/tt0112346/,112346,https://image.tmdb.org/t/p/original/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",movie,,
11,12,12110.0,Dracula: Dead and Loving It (1995),Comedy|Horror,19,2.421052631578948,vampire spoof dracula,http://www.imdb.com/title/tt0112896/,112896,https://image.tmdb.org/t/p/original/4rRfZz8YnHNRr16t3CFcJrPdXHi.jpg,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Professor Van Helsing, who may be the only one able to vanquish the Count.",movie,,
12,13,21032.0,Balto (1995),Adventure|Animation|Children,8,3.125,wolf pet dog-sledding race alaska dog goose bear attack dog sled pets,http://www.imdb.com/title/tt0112453/,112453,https://image.tmdb.org/t/p/original/dCVcdb5oxDizqFLz0F7TE60NoC9.jpg,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",movie,,
13,14,10858.0,Nixon (1995),Drama,18,3.8333333333333335,"washington dc, usa usa president 1970s presidential election watergate scandal biography government historical figure richard nixon 1960s",http://www.imdb.com/title/tt0113987/,113987,https://image.tmdb.org/t/p/original/cz2MTGr2wpDZLirgV2rGHBdA2t3.jpg,A look at President Richard M. Nixon—a man carrying the fate of the world on his shoulders while battling the self-destructive demands from within—spanning his troubled boyhood in California to the shocking Watergate scandal that would end his Presidency.,movie,,
14,15,1408.0,Cutthroat Island (1995),Action|Adventure|Romance,13,3.0,exotic island treasure map island ship scalp sword fight betrayal treasure map pirate heroine swashbuckler adventurer pirate ship 17th century,http://www.imdb.com/title/tt0112760/,112760,https://image.tmdb.org/t/p/original/hYdeBZ4BFXivdouxLfQGWNE6zRx.jpg,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",movie,,
15,16,524.0,Casino (1995),Crime|Drama,82,3.926829268292683,poker gambling casino drug abuse 1970s fbi overdose greed rise and fall car bomb alcoholism organized crime mafia money las vegas desert illegal prostitution 1980s,http://www.imdb.com/title/tt0112641/,112641,https://image.tmdb.org/t/p/original/6zEZY1htzRos2w0W3T7o7W1WJhp.jpg,"In early-1970s Las Vegas, Sam ""Ace"" Rothstein gets tapped by his bosses to head the Tangiers Casino. At first, he's a great success in the job, but over the years, problems with his loose-cannon enforcer Nicky Santoro, his ex-hustler wife Ginger, her con-artist ex Lester Diamond and a handful of corrupt politicians put Sam in ever-increasing danger.",movie,,
16,17,4584.0,Sense and Sensibility (1995),Drama|Romance,67,3.776119402985074,"london, england based on novel or book servant country life widow pneumonia secret love inheritance military officer period drama english countryside rainstorm decorum horse carriage young love dowry 19th century penniless social elite bloodletting free spirited sussex 1800s sisters love social classes marry for money secret engagement devonshire, england",http://www.imdb.com/title/tt0114388/,114388,https://image.tmdb.org/t/p/original/cBK2yL3HqhFvIVd7lLtazWlRZPR.jpg,"Based on Jane Austen's classic novel of the Dashwood sisters, sensible Elinor and passionate Marianne, whose chances at marriage seem doomed by their family's sudden loss of fortune.  When Henry Dashwood dies unexpectedly, his estate must pass on by law to his son from his first marriage, John and wife Fanny. But these circumstances leave Mr. Dashwood's current wife, and daughters Elinor, Marianne and Margaret, without a home and with barely enough money to live on. As Elinor and Marianne struggle to find romantic fulfillment in a society obsessed with financial and social status, they must learn to mix sense with sensibility in their dealings with both money and men.",movie,,
17,18,5.0,Four Rooms (1995),Comedy,20,3.7,"hotel new year's eve witch bet hotel room sperm anthology los angeles, california hoodlum multiple storylines woman director",http://www.imdb.com/title/tt0113101/,113101,https://image.tmdb.org/t/p/original/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,movie,,
18,19,9273.0,Ace Ventura: When Nature Calls (1995),Comedy,88,2.727272727272727,africa indigenous kidnapping human animal relationship bat stupidity slapstick comedy animal pets,http://www.imdb.com/title/tt0112281/,112281,https://image.tmdb.org/t/p/original/wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",movie,,
19,20,11517.0,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,15,2.5,new york city sibling relationship subway new york subway train robbery,http://www.imdb.com/title/tt0113845/,113845,https://image.tmdb.org/t/p/original/jWBDz6Mf9aQVBiUS76JQsEhvoJl.jpg,"When a vengeful New York transit cop decides to steal a trainload of subway fares, his foster brother—a fellow cop—tries to protect him.",movie,,
20,21,8012.0,Get Shorty (1995),Comedy|Crime|Thriller,89,3.49438202247191,"gambling miami, florida based on novel or book gangster murder travel mafia money debt mobster business hollywood drugs producer con",http://www.imdb.com/title/tt0113161/,113161,https://image.tmdb.org/t/p/original/r82SdPhg4fnIcLt0ogIjQxqjdcO.jpg,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",movie,,
21,22,1710.0,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,36,3.2222222222222223,police brutality psychology police operation police protection serial killer psychologist cowardliness,http://www.imdb.com/title/tt0112722/,112722,https://image.tmdb.org/t/p/original/lKNjGQXTy5WkSjAtLzLzAN9IHCD.jpg,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,movie,,
22,23,9691.0,Assassins (1995),Action|Crime|Thriller,16,3.125,"cia bank cat mexican standoff seattle, usa hitman mission of murder hidden camera rivalry rescue shootout police chase sniper rifle detroit, michigan silencer double cross caribbean sea",http://www.imdb.com/title/tt0112401/,112401,https://image.tmdb.org/t/p/original/kgqS4jn60E8UIExfceMUExB3ZKK.jpg,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.",movie,,
