"keyword1","keyword2","keyword3","keyword4","keyword5","keyword6","keyword7","keyword8","keyword9","keyword10","tmdbId","image_url","name","year","janre1","janre2","janre3","janre4","janre5"
sports,ice hockey,romance,,,,,,,,1,https://image.tmdb.org/t/p/original/9Ub2BwnLYKoiSaQF93ItyXriCon.jpg,프라이드,"2004-01-12",드라마,,,,
,,,,,,,,,,3,https://image.tmdb.org/t/p/original/wK9h8FwbmOWlMyW6fT2C6yFPvSu.jpg,The Message,"2006-05-20",코미디,,,,
,,,,,,,,,,4,https://image.tmdb.org/t/p/original/jEWIXx9Bv35t15yfSODJ55JrxJM.jpg,The Amazing Mrs Pritchard,"2006-10-03",드라마,,,,
,,,,,,,,,,5,https://image.tmdb.org/t/p/original/heOhqAyj2L64R2HuFZmEay7zqoj.jpg,La Job,"2006-10-09",코미디,,,,
high school,boarding school,supernatural phenomena,,,,,,,,6,https://image.tmdb.org/t/p/original/eMYBf0Wt2kHsH9JWIChu8Tmk86f.jpg,Strange Days at Blake Holsey High,"2002-10-05",미스터리,Sci-Fi & Fantasy,코미디,,
,,,,,,,,,,7,https://image.tmdb.org/t/p/original/Ae1vRALxdMwxvtCR9YgvpKSHkbS.jpg,Bugs,"1995-04-01",드라마,Action & Adventure,,,
urban,family,reverend,,,,,,,,10,https://image.tmdb.org/t/p/original/h9qveCyL3m6tNOrdhUabZk7khKt.jpg,All in Good Faith,"1985-12-30",코미디,,,,
,,,,,,,,,,13,https://image.tmdb.org/t/p/original/i2MwS6U0XzD8ad6aS3HiTNKz8ov.jpg,수요방랑객,"1996-10-09",코미디,,,,
,,,,,,,,,,15,https://image.tmdb.org/t/p/originalnull,Mister Rogers' Neighborhood,"1968-02-19",Kids,,,,
police officer,korean war veteran,,,,,,,,,18,https://image.tmdb.org/t/p/original/fwSw4fl08MVl5w6Q9lVUGIFkZQ2.jpg,W*A*L*T*E*R,"1984-07-17",코미디,,,,
future,based on novel or book,post-apocalyptic future,time travel,based on movie,primate,,,,,19,https://image.tmdb.org/t/p/original/zxo5Vrd0oXgm9ZCz4r7Q3L8veWg.jpg,Planet of the Apes,"1974-09-13",Sci-Fi & Fantasy,Action & Adventure,드라마,,
stunt,travel,dangerous animal,,,,,,,,20,https://image.tmdb.org/t/p/original/sM3SK4hx4eI6mdw1piUyVdV9WaW.jpg,Wildboyz,"2003-10-26",Reality,코미디,,,
,,,,,,,,,,23,https://image.tmdb.org/t/p/original/iA5FdGkXlOhRjvZLPkkrNMcqqq1.jpg,Tugs,"1989-04-04",Kids,가족,드라마,,
"san francisco, california",hospital,doctor,medical drama,,,,,,,24,https://image.tmdb.org/t/p/original/dpsbrvlgr48nshG1MS8i2saaINQ.jpg,Presidio Med,"2002-09-24",드라마,,,,
police,hawaii,elite unit,police detective,"honolulu, hawaii",,,,,,26,https://image.tmdb.org/t/p/original/6KTBQFaNk7AxDkPn8648CwxWUHQ.jpg,Hawaii,"2004-09-01",드라마,,,,
housewife,satire,,,,,,,,,29,https://image.tmdb.org/t/p/original/O1bcYEBW8v7JOMNVpYOBTL6PjL.jpg,"Mary Hartman, Mary Hartman","1976-01-05",드라마,Soap,코미디,,
"boston, massachusetts",dark comedy,hospital,medical drama,,,,,,,30,https://image.tmdb.org/t/p/original/mEfcA56iisaOfnK8FsY1sSE2wLu.jpg,St. Elsewhere,"1982-10-26",드라마,,,,
france,sequel,neighbor,expatriate,,,,,,,31,https://image.tmdb.org/t/p/original/haDXWVklVC7q5OZdqJsdBIFk2R5.jpg,French Fields,"1989-09-05",코미디,,,,
martial arts,supernatural,,,,,,,,,32,https://image.tmdb.org/t/p/original/9P2UrFxoQBZ2pib7sF1AJfBpRRm.jpg,Rounin,"2007-04-16",Action & Adventure,Sci-Fi & Fantasy,드라마,,
new york city,sibling relationship,roommate,sitcom,living with sibling,,,,,,33,https://image.tmdb.org/t/p/original/zSBXCHUwMR3uCCeheTCeb6lzpEI.jpg,What I Like About You,"2002-09-20",코미디,,,,
snob,bucket,slob,sitcom,bouquet,,,,,,34,https://image.tmdb.org/t/p/original/s1efxAPGvVlvWuHOgNXW2rRXEcG.jpg,Keeping Up Appearances,"1990-10-29",코미디,,,,
northern england,self-destruction,psychologist,manchester,criminal consultant,,,,,,35,https://image.tmdb.org/t/p/original/6TafPjjdnquokIOxHywBtUvI5DS.jpg,Cracker,"1993-09-27",범죄,드라마,,,
medium,paranormal,psychic power,criminal consultant,"phoenix, arizona",,,,,,36,https://image.tmdb.org/t/p/originalnull,고스트 앤 크라임,"2005-01-03",범죄,드라마,미스터리,Sci-Fi & Fantasy,
anthology,tv pilot,,,,,,,,,37,https://image.tmdb.org/t/p/original/sR04NtfHPfzCXlBXHDLgPjdlxTz.jpg,Seven of One,"1973-03-25",코미디,,,,
southern usa,texas,ranch,dallas texas,dysfunctional family,sibling rivalry,oil industry,family saga,,,40,https://image.tmdb.org/t/p/originalnull,Dallas,"1978-04-02",Soap,드라마,,,
country music,guest,sketch comedy,variety show,,,,,,,41,https://image.tmdb.org/t/p/originalnull,Dolly,"1987-09-27",코미디,,,,
,,,,,,,,,,42,https://image.tmdb.org/t/p/original/iQQ5hsyJzfQGn7nyllQaegpMxnO.jpg,ComicView,"1992-09-14",코미디,,,,
,,,,,,,,,,43,https://image.tmdb.org/t/p/original/rI0hXEJFcgRaigCWGEuqEXQvOjY.jpg,"31 Minutos","2003-03-15",코미디,Kids,가족,,
friendship,travel,racing,race,supercar,magazine show,,,,,45,https://image.tmdb.org/t/p/originalnull,탑 기어,"2002-10-20",다큐멘터리,Talk,코미디,,
friendship,orphan,neighborhood,sitcom,adult as a child,,,,,,47,https://image.tmdb.org/t/p/originalnull,El Chavo del Ocho,"1973-02-26",코미디,가족,,,
sketch comedy,,,,,,,,,,48,https://image.tmdb.org/t/p/original/hFVjZtt5hhNH0Su6xQQRD9XjWLm.jpg,Absolutely,"1989-05-23",코미디,,,,
california,beach,police,bicycle cop,,,,,,,50,https://image.tmdb.org/t/p/original/lVyEixUIkSWSuUQ1RO4fQMXcXgB.jpg,Pacific Blue,"1996-03-02",드라마,Action & Adventure,범죄,War & Politics,
southern usa,texas,cowboy,buddy cop,,,,,,,51,https://image.tmdb.org/t/p/original/pzfECkrZHkS3UXRsMcxvCB1O3Al.jpg,Houston Knights,"1987-03-11",드라마,범죄,,,
