content_id,title,genre,poster_url,rating_count,rating_avg,overview
2,Clerks,Animation Comedy,https://image.tmdb.org/t/p/original/xunXvzFlkf1GGgMkCySA9CCFumB.jpg,76,6.882,"The continuing adventures of store clerks Dante and Randal, who try to make the best of their menial labor, with no help from Jay and Silent Bob."
14,Shuriken School,Comedy Animation Action & Adventure,https://image.tmdb.org/t/p/original/khXHvYKAvGqjtnKoLVYZr8r5yKD.jpg,6,5.5,"Shuriken School is a British animated series that first aired on August 20, 2006 on Nickelodeon and then on YTV a few weeks later. It has also been airing on Jetix in the UK since February 2006, as well as on CITV. In the United States, the show aired on Nicktoons Network and Nickelodeon. In Latin America is aired on Jetix."
25,Star Wars: Droids,Kids Animation Action & Adventure Sci-Fi & Fantasy,https://image.tmdb.org/t/p/original/b3gsZSTauRBJDJvWCbD9oVAsFe1.jpg,66,5.2,An animated television series that features the exploits of R2-D2 and C-3PO. The series takes place between the events depicted in Star Wars Episode III: Revenge of the Sith and Star Wars Episode IV: A New Hope.
38,Time Warp Trio,Family Animation,https://image.tmdb.org/t/p/original/dnPnZyHHAjJg72g9VsHqM409aNa.jpg,1,8.0,The adventures of three curious boys who are transported back to dramatically different places in history.
44,Adventures of Sonic the Hedgehog,Animation Sci-Fi & Fantasy Action & Adventure Comedy,https://image.tmdb.org/t/p/original/wMDixjRrrWtuOWf2La4Vb4a5QKw.jpg,81,6.506,"Follow the adventures of Sonic the Hedgehog, and his sidekick Tails, as they attempt to stop Dr. Robotnik and his array of robots from taking over the planet Mobius."
74,Fievel's American Tails,Western Animation Family,https://image.tmdb.org/t/p/original/msWEkhcsqi0gfrIIpOonKumOkkT.jpg,7,6.857,"Fievel's American Tails is an American/Canadian animated television series, produced by Steven Spielberg's Amblimation animation studio, Nelvana, and Universal Cartoon Studios. It aired for one season in 1992, and continued Fievel's adventures from the film An American Tail: Fievel Goes West.

In 1993 and 1994, MCA/Universal Home Video released twelve episodes on six VHS video-cassettes, two Laserdisc volumes. These have been the only home video releases of the cartoon, at least in the United States. In the United Kingdom, 12 episodes were released on six video-cassettes in 1995, but were in a different episode order to the United States and Vol.4 features the only episode that hasn't been released in the United States. Episodes have been released on DVD in France, Germany, and Italy. Universal currently has no plans to release the show on DVD in the United States, as of November 19, 2009.

In Russia, the cartoon, dubbed in Russian but retaining the original English titles and names, was broadcast on First Channel Russian Television in summer 1996 with Woody Woodpecker. Repeat airings were broadcast in Spring 2002 and Winter 2005. In Japan, the cartoon was dubbed into Japanese and aired on TBS from January 7, 1995 until March 25 of the same year, showing all the episodes weekly."
79,Dora the Explorer,Action & Adventure Animation Family Kids,https://image.tmdb.org/t/p/original/wuZAi6JPdlX68s1p7iztmt0p13C.jpg,244,5.934,A young girl named Dora goes on adventures with her red boot-wearing monkey named Boots.
82,Animaniacs,Animation Kids Comedy Family,https://image.tmdb.org/t/p/original/c1b2UtrhbMOdHKISB2ZvINo9eyc.jpg,604,7.988,"The two Warner Brothers Yakko and Wakko and their Warner sister Dot had been (supposedly) created in the 1930's, but their cartoons were too screwy for the general public to handle. The three Warners were locked up in the studio water tower until they escaped in the 90's. There, they run wild, causing chaos everywhere!"
85,Postcards from Buster,Animation,https://image.tmdb.org/t/p/original/7GZ3nM8Mod24ego7IdIi9hqSSsN.jpg,80,8.231,"Postcards from Buster is a children's television series for children aged 6–12, containing both animation and live-action that originally aired on Public Broadcasting Service. It is a spin-off of the Arthur cartoon series. The show stars Arthur's best friend, 8-year-old rabbit Buster Baxter. Inspired by a 2003 episode of Arthur entitled ""Postcards from Buster"", the television series was produced by Cinar and Marc Brown Studios.

It first aired October 11, 2004, on PBS Kids Go!. Buster's interests include eating anything, reading comic books, and playing video games. Buster's personality is that of a fairly intelligent and curious child. He also believes that extraterrestrials are real. Buster's parents are divorced; in this series, Buster is seen with his father, Bo Baxter.

Arthur Read and many other characters from the PBS Kids Go! animated television series Arthur make cameo appearances in this series, and most episodes have an Arthur character playing a minor role. The series went through a hiatus between November 2008 and February 2012."
100,I Am Not an Animal,Animation Comedy,https://image.tmdb.org/t/p/original/qG59J1Q7rpBc1dvku4azbzcqo8h.jpg,769,8.648,"I Am Not An Animal is an animated comedy series about the only six talking animals in the world, whose cosseted existence in a vivisection unit is turned upside down when they are liberated by animal rights activists."
117,The Dreamstone,Family Animation,https://image.tmdb.org/t/p/original/2o9nx2ZT3DiJWCvf6vNm3Vv1AzN.jpg,8,8.8,"The Dreamstone is a British animated television series that ran for 4 series of 13 episodes each between 1990 and 1995. The original concept and artwork were created by Michael Jupp who would later create another cartoon show Bimble's Bucket. The series was produced by FilmFair as a Central production for ITV. In 1996 Filmfair was bought from the Caspian Group by the Canadian company Cinar, then it became Cookie Jar Entertainment, but then it became part of DHX Media. This resulted in DHX's ownership of the first two series, while a company called Dreamstone Productions Ltd. retain the ownership of the third and fourth series.

The Dreamstone is set in an alternative world called the 'Sleeping World,' and concerns itself principally with the struggle between good, and evil."
130,All Grown Up!,Animation Comedy Drama,https://image.tmdb.org/t/p/original/e950CuuRk3MdRytXJ9cE905QrLS.jpg,177,7.811,"All Grown Up! is an animated television series created by Arlene Klasky and Gábor Csupó for Nickelodeon. After the success of All Growed Up, the Rugrats 10th anniversary special, Nickelodeon commissioned All Grown Up! as a spin-off series based on the episode. The series ran from April 12, 2003 to August 17, 2008, and currently airs in reruns on Nickelodeon and Nicktoons. The show aired in reruns on The N from August 18, 2003 until November 12, 2005, it was dropped from the channel on February 2006, but then returned in April 2007 until June 25, 2009, then on July 7, 2009, All Grown Up! was dropped from The N again. The show's premise is that the characters of the Rugrats are ten years older. Tommy, Dil, Chuckie, Phil, Lil, Kimi, Angelica and Susie now have to deal with teen and pre-teen issues and situations.

It was the first Nicktoon spin-off receiving positive review among critics, and developed a cult following after its run."
131,Space Sentinels,Sci-Fi & Fantasy Animation,https://image.tmdb.org/t/p/original/pc4W8UW3hCbvSHrrbBFuCaGXhRu.jpg,2,8.0,"Space Sentinels is a Saturday morning animated series produced by Filmation which debuted on the American NBC network on September 10, 1977 and ran for thirteen half-hour episodes. The series has been called ""ahead of its time"" due to its racially diverse cast of main characters.

In this series, the Roman mythological figures Hercules and Mercury are joined by Astrea, a character created specifically for the series, to form a superhero team to protect mankind.

The complete series was released on Region 1 DVD on August 22, 2006, along with the complete series of The Freedom Force."
132,Fantastic Four: World's Greatest Heroes,Animation Action & Adventure,https://image.tmdb.org/t/p/original/zCtCW0JlbMpzfQDAX1bO1o1KLi.jpg,75,7.613,"Mister Fantastic, the Invisible Woman, the Human Torch, and Thing battle some of their greatest foes, including Doctor Doom, Ronan the Accuser, the Multiple Man, and Mole Man."
137,W.I.T.C.H.,Animation Sci-Fi & Fantasy Comedy,https://image.tmdb.org/t/p/original/tBoCZnUrX4xjI3Ge8zd5OCvjlLA.jpg,60,7.5,"The Guardians must save Meridian from the evil sorcerer Phobos and Cedric who are searching for Phobos' sister, the long lost princess of Meridian and true heir to the throne. They later find her and the Guardians then set about saving her from Phobos. When Meridian is freed from evil and true heir takes the throne, a new mysterious sorceress named Nerissa frees Phobos' top henchmen and reforms them as the Knights of Vengeance. Once the Guardians learn more about the sorceress and her evil plan of reuniting former Guardians, they are able to defeat the Knights only to have more powerful Knights, in addition to the former Guardians attack them."
